,PenmanMonteith,Abtew,BlaneyCriddle,BrutsaertStrickler,ChapmanAustralia,GrangerGrey,SzilagyiJozsa,Turc,Hamon,HargreavesSamani,JensenHaise,Linacre,Makkink,MattShuttleworth,McGuinnessBordne,Penman,Penpan,PriestleyTaylor,Romanenko ,CRWE ,CRAE 
2001-03-19,3.34249,3.938308,2.1279939999999997,2.809029,2.899843,2.3610580000000003,3.14573,3.5053669999999997,1.166421,3.11691,3.995111,2.7608,2.932273,2.402097,4.395882,4.7717089999999995,5.233125,3.3345559999999996,5.392241,,
2001-03-20,4.315975,3.9140010000000003,2.779643,1.745696,3.8375800000000004,1.9946169999999999,1.919641,3.5910519999999995,1.26032,3.253112,4.205669,3.6113089999999994,2.9830349999999997,2.205053,4.596475,5.794384,6.925389,3.270696,7.2123479999999995,,
2001-03-21,3.2143580000000003,3.889531,1.830153,1.8834540000000002,3.3211160000000004,2.079354,2.311766,3.082675,0.8777925,2.577875,3.216343,2.035572,2.664275,1.61212,3.594845,5.080618,5.993365,3.020826,3.223818,,
2001-03-22,3.187041,3.864906,1.9099560000000002,2.8799,2.8176240000000004,2.3799,3.289671,3.402849,1.090462,3.110738,3.827743,2.426532,2.847254,2.232748,4.196646,4.555322,5.084751,3.26974,3.9929550000000003,,
2001-03-23,3.3936900000000003,3.840135,2.262782,2.15875,2.9576130000000003,2.057843,2.390945,3.338375,1.134575,3.5033230000000004,3.7109,2.812999,2.799927,2.173812,4.069709,4.829216000000001,5.337379,3.051111,6.082733,,
2001-03-24,4.117073,3.815228,2.5028200000000003,1.520723,3.91753,1.928652,1.833994,3.3854379999999997,1.114481,3.0078259999999997,3.8243989999999997,3.099832,2.823043,1.870064,4.17251,5.732387999999999,7.069667999999999,3.13152,5.220766,,
2001-03-25,3.466476,3.790194,1.9571939999999999,1.615728,3.353212,1.927445,1.979703,3.081301,0.9278533000000001,2.764211,3.252642,1.954711,2.631967,1.664907,3.593978,5.100137,6.051286,2.902425,4.0024690000000005,,
2001-03-26,3.297221,3.7650410000000005,2.0632040000000003,2.224168,3.072915,2.090895,2.581096,3.2389580000000002,1.029891,2.930494,3.5568779999999998,2.0859509999999997,2.717551,1.8952200000000001,3.886339,4.762723,5.545454,3.045407,3.8993589999999996,,
2001-03-27,2.891934,3.73978,1.812545,2.70011,2.53024,2.2393009999999998,3.1073,3.224095,1.028065,2.927167,3.542003,2.534839,2.701317,2.108269,3.861673,4.168379,4.5661309999999995,3.014869,3.872435,,
2001-03-28,3.4548370000000004,3.7144199999999996,2.276714,1.744055,3.077839,1.8689049999999998,1.998014,3.1724200000000002,1.019255,2.783473,3.455482,3.036658,2.662624,1.872284,3.7662760000000004,4.8075339999999995,5.55434,2.8374330000000003,5.317218,,
2001-03-29,3.476983,3.688972,2.064205,1.427109,3.07464,1.761759,1.6634939999999998,3.042856,0.9716258,2.580795,3.22785,2.971975,2.578586,1.762066,3.532081,4.821254,5.5485690000000005,2.69413,5.449885,,
2001-03-30,3.25177,3.663444,2.175177,1.704391,2.845496,1.8124419999999999,1.9055090000000001,3.1150759999999997,1.0692409999999999,3.125066,3.3728339999999997,2.977362,2.613338,1.911471,3.6654050000000002,4.59859,5.13505,2.732484,5.851089,,
2001-03-31,3.5653099999999998,3.6378470000000003,2.676774,1.1837010000000001,3.175678,1.630141,1.2411159999999999,3.227759,1.195722,3.9532160000000003,3.611612,3.553142,2.675594,1.8958840000000001,3.890275,5.0164040000000005,5.730903,2.666575,7.7551570000000005,202.9035,178.2332
2001-04-01,2.887146,3.275413,1.2755459999999998,1.861979,2.514554,1.7655029999999998,2.087946,2.878405,0.7732354,2.639566,3.1258150000000002,2.7485939999999998,2.358343,1.822024,3.7190589999999997,4.083359,4.537824,2.5950349999999998,4.97805,,
2001-04-02,3.7706370000000002,3.2516950000000002,1.689684,0.7283075,3.329273,1.461293,0.8527305000000001,2.9032709999999997,0.7873747,2.6868830000000004,3.189162,3.557099,2.3669130000000003,1.618853,3.7780620000000003,5.000068,6.0080860000000005,2.45174,6.903789,,
2001-04-03,4.3336559999999995,3.227948,2.030494,0.2601332,3.848808,1.4125,0.3295908,3.042734,0.9187996999999999,2.868911,3.507289,4.442506,2.4503779999999997,1.6560869999999999,4.111181,5.569291000000001,6.945651,2.47683,8.548051,,
2001-04-04,3.2781050000000005,3.204181,1.57303,1.169611,2.875845,1.5188959999999998,1.2874079999999999,2.881107,0.8516733,3.5230660000000005,3.173372,3.23182,2.339987,1.726559,3.742161,4.530377,5.189819,2.46327,6.551805,,
2001-04-05,3.4283589999999995,3.180406,1.9433650000000002,0.5458721,3.107886,1.347821,0.5006449000000001,2.948941,0.9488194999999999,5.198391,3.33331,4.476922,2.3767869999999998,1.6811919999999998,3.904329,4.8825449999999995,5.6085650000000005,2.322452,9.015074,,
2001-04-06,3.574953,3.15663,2.417451,0.44659620000000005,3.400414,1.349488,0.3133183,3.154594,1.1618600000000001,5.656446,3.8547309999999997,5.818425,2.511552,1.777809,4.45297,5.185662000000001,6.136468,2.406243,11.11533,,
2001-04-07,6.096601000000001,3.132864,3.321739,-0.9661549999999999,5.575414,1.522434,-1.666134,3.287197,1.291372,3.4720720000000003,4.270034,7.7769639999999995,2.6047,1.7049450000000002,4.886106,7.188353,10.06153,2.595339,11.54691,,
2001-04-08,2.960932,3.109118,1.452407,1.236003,2.670472,1.494875,1.465619,2.662161,0.7023156,2.541615,2.802691,2.638089,2.1807790000000002,1.4720010000000001,3.309054,4.113646,4.819196,2.305272,4.41803,,
2001-04-09,2.603279,3.085402,1.159672,1.5770309999999998,2.283843,1.565102,1.784862,2.660668,0.7280896,2.383801,2.810979,2.429561,2.172663,1.5980809999999999,3.309246,3.705004,4.121477,2.292643,4.530826,,
2001-04-10,2.49004,3.0617259999999997,1.272499,1.621933,2.1939490000000004,1.557734,1.811955,2.670613,0.7429004,2.38683,2.840928,2.369081,2.171349,1.625828,3.332445,3.605169,3.9592519999999998,2.2708939999999997,4.762873,,
2001-04-11,2.637175,3.0380990000000003,1.251786,1.412436,2.3286569999999998,1.479465,1.595508,2.644793,0.7282675999999999,2.429312,2.804399,2.6240580000000002,2.1490650000000002,1.54036,3.28502,3.727412,4.20235,2.222737,4.781514,,
2001-04-12,2.873324,3.0145310000000003,1.4481030000000001,0.43253329999999995,2.502534,1.183533,0.49639799999999995,2.433319,0.6569881,2.2482889999999998,2.449306,3.4703690000000003,2.02353,1.311041,2.900444,4.033077,4.516132,1.8939580000000003,6.4864370000000005,,
2001-04-13,3.088665,2.991032,1.58351,0.2801087,2.7085790000000003,1.159993,0.32699659999999997,2.529055,0.7240810999999999,2.560707,2.617153,3.5564660000000003,2.0680240000000003,1.329077,3.0699959999999997,4.2634989999999995,4.887967,1.921285,7.018308,,
2001-04-14,3.895778,2.967613,2.015333,-0.5054135999999999,3.424975,1.10521,-0.4778449000000001,2.6657759999999997,0.8514,3.9047690000000004,2.882009,4.513268,2.140885,1.294167,3.341242,5.082654,6.180791,1.9035229999999999,8.668834,,
2001-04-15,2.981506,2.944284,1.956457,0.07183603,2.777807,1.081226,-0.008068096,2.693234,0.8672883,3.2983260000000003,2.951361,4.197982,2.151202,1.359954,3.405618,4.3743099999999995,5.012896,1.870364,9.111295,,
2001-04-16,2.226285,2.9210529999999997,1.123951,1.66242,1.9814029999999998,1.506243,1.853452,2.5821560000000003,0.7635573,2.286395,2.745509,2.248218,2.077086,1.560026,3.18053,3.2768610000000002,3.5756870000000003,2.146519,4.201176,,
2001-04-17,3.0230639999999998,2.8979310000000003,1.7660509999999998,0.7765131,2.7292549999999998,1.251516,0.8505572,2.738223,0.9266589,3.1745200000000002,3.079052,3.153315,2.167323,1.509731,3.522096,4.190565,4.925279,2.125552,6.8918029999999995,,
2001-04-18,4.223826,2.8749279999999997,2.615246,-0.4358701,3.849652,1.1708290000000001,-0.4169272,2.918173,1.118157,3.131664,3.5383730000000004,5.074171,2.284046,1.429216,3.994076,5.366487,6.947172999999999,2.055757,10.30728,,
2001-04-19,3.003018,2.852054,1.3912959999999999,0.41325969999999995,2.708773,1.142396,0.5807883,2.446406,0.6884467,2.270849,2.529827,2.7247939999999997,1.977391,1.194827,2.93033,4.044658,4.8883160000000005,1.8815060000000001,5.155288,,
2001-04-20,2.860015,2.829318,1.2888870000000001,0.2997,2.556156,1.088475,0.4621634,2.303024,0.6273074000000001,2.138833,2.298821,3.053387,1.891831,1.1112600000000001,2.68161,3.8810010000000004,4.612899,1.7574029999999998,4.976521,,
2001-04-21,2.426882,2.806731,1.029968,0.5947325,2.158035,1.120108,0.7774033,2.1376880000000003,0.5699835999999999,1.9740509999999998,2.057819,2.324195,1.800643,1.0769229999999999,2.4234259999999996,3.40234,3.8944410000000005,1.6911669999999999,4.024304,,
2001-04-22,1.896953,2.7843009999999997,0.7745771,1.556608,1.7911689999999998,1.42076,1.809152,2.292376,0.6344959,2.1177919999999997,2.2957099999999997,1.680985,1.8709,1.204895,2.663881,2.8629729999999998,3.2323869999999997,1.909662,2.137525,,
2001-04-23,2.361422,2.762038,1.117177,0.8896738000000001,2.123822,1.167926,1.0542989999999999,2.333164,0.6621866999999999,2.142896,2.370307,2.441089,1.885448,1.192833,2.734085,3.317453,3.832699,1.791898,4.157215,,
2001-04-24,2.406412,2.739952,1.2645440000000001,0.529868,2.154298,1.039298,0.6181768,2.309226,0.6652587,2.0677119999999998,2.33818,2.8627029999999998,1.8651220000000002,1.152619,2.6935580000000003,3.4084730000000003,3.887697,1.662251,5.448562,,
2001-04-25,3.713453,2.718052,1.8079779999999999,-0.7383765,3.324262,0.9615264000000001,-0.5626825,2.38377,0.7497835999999999,2.195137,2.476302,3.260943,1.8996979999999999,1.018743,2.829145,4.726344999999999,5.999042,1.630595,6.683161999999999,,
2001-04-26,2.831182,2.696348,1.509414,0.537458,2.5977069999999998,1.091969,0.7069746,2.467048,0.7787904999999999,2.205094,2.644495,2.682499,1.9421810000000002,1.182415,2.9952799999999997,3.80175,4.6878839999999995,1.8332130000000002,4.851516,,
2001-04-27,2.254482,2.674848,1.312794,0.8530578000000001,2.042359,1.106573,1.005211,2.303769,0.6825248,2.087629,2.353352,2.225921,1.840873,1.15099,2.687894,3.174848,3.685689,1.711573,4.090424,,
2001-04-28,2.114507,2.653562,1.101102,0.5541037,1.885666,0.9902228999999999,0.6693444000000001,2.103787,0.6046413,1.822036,2.041202,2.4616580000000003,1.7283970000000002,1.0418100000000001,2.360075,3.0400549999999997,3.402917,1.514269,4.4844800000000005,,
2001-04-29,2.855196,2.632499,1.393334,-0.06141463,2.5858779999999997,0.9255485000000001,0.09984129,2.231303,0.6668601,1.952704,2.246484,3.009255,1.7872720000000002,0.9714113999999999,2.56431,3.799189,4.666537,1.547433,5.087872,,
2001-04-30,1.898756,2.611668,1.074047,0.6715899000000001,1.737512,0.9940502,0.7623845,2.1255740000000003,0.6640689999999999,2.200805,2.0843119999999997,2.274542,1.7245259999999998,1.091021,2.3915599999999997,2.89225,3.1355560000000002,1.50905,4.639187000000001,132.7873,101.8001
2001-05-01,2.0750830000000002,2.186226,0.35695679999999996,0.5378440999999999,1.838226,0.9133600000000001,0.6327681,1.985901,0.4069994,1.9755200000000002,1.9970330000000003,2.454863,1.506181,1.042163,2.674053,2.9287080000000003,3.317307,1.480316,4.7456629999999995,,
2001-05-02,1.7060790000000001,2.168586,0.3127116,0.7047403,1.5806950000000002,0.9207200999999999,0.7635531,1.9665990000000002,0.40863590000000005,2.035815,1.970494,2.392599,1.489752,1.07206,2.635719,2.6596990000000003,2.85256,1.44456,4.914226,,
2001-05-03,2.3475330000000003,2.151174,0.519724,0.1915862,2.107914,0.8376359,0.2516546,2.0628919999999997,0.4370064,2.097285,2.156345,3.16017,1.539403,1.011767,2.854059,3.220263,3.8039910000000003,1.4409040000000002,6.0541730000000005,,
2001-05-04,1.943561,2.133999,0.4680904,0.6027148,1.788139,0.8891572,0.6589175,2.057069,0.44523379999999996,2.01843,2.154518,2.832023,1.530804,1.072398,2.8454639999999998,2.846158,3.226918,1.474219,5.354627,,
2001-05-05,1.68193,2.117066,0.16826960000000002,0.6257894,1.503017,0.8709604999999999,0.7183961,1.821941,0.3600179,1.7524650000000002,1.7506509999999997,2.075466,1.395477,0.951566,2.3528919999999998,2.487731,2.71238,1.3289520000000001,4.002047,,
2001-05-06,1.569352,2.1003830000000003,0.1188366,0.6951451,1.40005,0.8787223,0.7982938,1.766543,0.3457711,1.700451,1.671218,1.79318,1.361737,0.9300811,2.251902,2.34198,2.526563,1.297894,3.5736830000000004,,
2001-05-07,1.983036,2.083956,0.37360340000000003,0.1683579,1.770355,0.7648560000000001,0.2341589,1.8459619999999999,0.3841347,1.8420029999999998,1.798414,2.366949,1.3963649999999999,0.8930189000000001,2.3993029999999997,2.832911,3.194825,1.2635809999999998,5.134514,,
2001-05-08,2.408704,2.067792,0.5024501,-0.3465261,2.116438,0.7092206999999999,-0.2739656,1.852412,0.3935245,1.896713,1.814289,2.7975950000000003,1.394252,0.824818,2.4128950000000002,3.249684,3.819373,1.200526,6.039384,,
2001-05-09,1.7403950000000001,2.0518970000000003,0.276435,0.6675019,1.57998,0.8544976000000001,0.760476,1.9152930000000001,0.40402309999999997,1.9163299999999999,1.9285860000000001,2.271859,1.423346,0.9631155999999998,2.544304,2.5083189999999997,2.851269,1.354555,4.018785,,
2001-05-10,1.407345,2.036278,0.08765481,0.7723733,1.275722,0.8640225,0.8750333,1.73859,0.35019459999999997,1.652469,1.644686,1.7742939999999998,1.324674,0.9057726,2.199518,2.144533,2.302197,1.247172,3.2065919999999997,,
2001-05-11,1.540457,2.02094,0.22004980000000002,0.3895551,1.42194,0.7452616999999999,0.4461286,1.737571,0.35881979999999997,1.6750310000000002,1.6468720000000001,2.184166,1.318633,0.8538064000000001,2.1971990000000003,2.379297,2.566066,1.170516,4.421447,,
2001-05-12,1.852213,2.005889,0.42260240000000004,0.11355830000000001,1.711973,0.7021536999999999,0.1515138,1.8608790000000002,0.4034684,1.750603,1.85159,2.9914169999999998,1.378139,0.8545265999999999,2.4363029999999997,2.719867,3.089466,1.186441,5.568201999999999,,
2001-05-13,2.548479,1.991132,0.7199836,-0.5292423,2.304434,0.695498,-0.46616949999999996,1.9576770000000001,0.48305240000000005,2.372362,2.038996,3.3348410000000004,1.428915,0.8398403,2.654205,3.4317580000000003,4.158636,1.19381,7.155044,,
2001-05-14,2.72483,1.9766740000000003,0.9771441999999999,-0.4961307,2.48351,0.7271920000000001,-0.4264396,2.049111,0.5239626000000001,1.938294,2.2427650000000003,4.030441000000001,1.4810780000000001,0.8787768,2.891025,3.5494230000000004,4.481801,1.2570299999999999,7.556838000000001,,
2001-05-15,2.0945560000000003,1.96252,0.2900731,-0.029524,1.970127,0.7039337,0.1614104,1.7151060000000002,0.35270830000000003,1.678029,1.6275709999999999,1.652105,1.286403,0.6855271,2.155406,2.848912,3.555337,1.167058,3.174836,,
2001-05-16,1.776355,1.9486759999999999,0.16422910000000002,0.2148431,1.761796,0.7236066999999999,0.4091927,1.6612310000000001,0.3354987,1.6590200000000002,1.550509,1.612593,1.2547139999999999,0.6462291,2.0596080000000003,2.565272,3.179379,1.158161,2.331989,,
2001-05-17,1.216943,1.9351479999999999,-0.1307208,0.6104805999999999,1.114763,0.7576621,0.7462890999999999,1.4169399999999999,0.2727408,1.4644190000000001,1.237378,0.7889203,1.140984,0.6584334,1.6847400000000001,1.816386,2.0117279999999997,1.023672,1.82415,,
2001-05-18,1.1986299999999999,1.9219389999999998,-0.08787532,0.6874829,1.091494,0.7714807,0.8119995,1.501997,0.29434040000000006,1.519989,1.339813,1.212552,1.1712690000000001,0.7106100999999999,1.802136,1.7919459999999998,1.9697369999999998,1.04922,1.999311,,
2001-05-19,1.091979,1.909055,-0.11043139999999999,0.655996,0.9945069999999999,0.7433581,0.7634143,1.440954,0.2844202,1.4570290000000001,1.266585,1.338919,1.140169,0.7124618,1.711934,1.697048,1.7947110000000002,0.9950700000000001,2.247115,,
2001-05-20,1.1047790000000002,1.8965020000000001,-0.00479028,0.4730603,1.058354,0.673149,0.536083,1.5075459999999998,0.3082034,1.428439,1.349434,1.723556,1.1636540000000002,0.7226836999999999,1.806059,1.8370400000000002,1.90993,0.9717988999999999,3.2862699999999996,,
2001-05-21,1.313115,1.884282,0.006152898,0.3133017,1.188668,0.6421485,0.3967595,1.474451,0.3085468,1.427813,1.309033,1.51531,1.144396,0.6764432,1.754894,1.979177,2.145099,0.9577253000000001,3.129665,,
2001-05-22,1.353809,1.8724020000000001,0.1769579,0.1873312,1.268153,0.6027668,0.23936999999999997,1.570063,0.333902,1.455489,1.435808,1.931332,1.182741,0.6889597,1.90057,2.102808,2.288538,0.9518674000000001,4.0110269999999995,,
2001-05-23,1.32597,1.8608650000000002,0.09531814,0.23537689999999997,1.226408,0.6093761,0.3011959,1.529284,0.3274745,1.446682,1.3822290000000002,1.822988,1.15951,0.6771916,1.8341049999999999,2.032339,2.213205,0.9438218,3.590928,,
2001-05-24,1.260707,1.849675,0.06589895,0.07409259,1.1877209999999998,0.5586281,0.11941510000000001,1.441686,0.31070970000000003,1.488536,1.271652,1.905111,1.116531,0.6307433000000001,1.700995,2.0244020000000003,2.143389,0.8667587,3.935974,,
2001-05-25,2.176472,1.8388369999999998,0.3364409,-0.6226626999999999,1.9092779999999998,0.5422475,-0.4978575,1.584982,0.35605990000000004,1.5828309999999999,1.4631129999999999,2.447808,1.177226,0.5857217,1.922322,2.852329,3.445528,0.8926079,4.835189,,
2001-05-26,1.9181270000000001,1.828354,0.2708215,-0.1947078,1.870923,0.597554,0.0014223060000000001,1.604806,0.3436254,1.554634,1.494328,1.691469,1.182995,0.5613212,1.955625,2.640978,3.3763120000000004,0.9953665999999999,2.806759,,
2001-05-27,1.519118,1.81823,0.02083765,0.10788319999999998,1.4648,0.5960289000000001,0.26589440000000003,1.474258,0.30700409999999995,1.442224,1.3155940000000002,1.401369,1.11821,0.5419254,1.7433759999999998,2.1699439999999997,2.643412,0.9356179,2.196931,,
2001-05-28,1.386292,1.808468,0.03257909,0.0688564,1.245464,0.5467811,0.15961070000000002,1.4013879999999999,0.29508379999999995,1.318058,1.225933,1.513279,1.082914,0.5713064,1.635743,1.992344,2.247594,0.8451837999999999,3.0815360000000003,,
2001-05-29,1.010612,1.799073,-0.1519529,0.35561020000000004,0.9345356,0.5843231,0.4349168,1.268277,0.26628440000000003,1.2338850000000001,1.076849,1.284908,1.0261200000000001,0.5767351,1.45905,1.5940379999999998,1.6864849999999998,0.8090436,2.397157,,
2001-05-30,1.019615,1.7900459999999998,0.03431983,0.3195743,1.001922,0.5622726,0.3686592,1.445789,0.30178720000000003,1.415902,1.2822930000000001,1.9242599999999999,1.094571,0.6179958000000001,1.696268,1.6995040000000001,1.8080919999999998,0.8363822,3.228107,,
2001-05-31,1.092932,1.7813919999999999,-0.07730586,0.2700085,1.02607,0.5548358,0.3369621,1.380954,0.293009,1.300937,1.203296,1.7814310000000002,1.0634059999999999,0.5872609999999999,1.601708,1.713813,1.8516700000000001,0.8195440999999999,2.8806599999999998,70.78392,35.16698
2001-06-01,1.8001669999999999,1.630005,-0.153387,-0.4806939,1.565598,0.47302799999999995,-0.35872659999999995,1.30692,0.21399810000000002,1.352751,1.124547,1.903735,0.9710436,0.48320779999999997,1.622647,2.379265,2.8253150000000002,0.7611858,3.775976,,
2001-06-02,1.991375,1.622642,0.04760114,-0.5656235,1.756028,0.4933088,-0.4619399,1.501534,0.2654335,1.489992,1.388608,3.1409380000000002,1.056891,0.5476423,1.954649,2.6074610000000003,3.1689700000000003,0.8200415000000001,4.935789,,
2001-06-03,1.0924200000000002,1.615635,-0.24242339999999998,0.3004623,1.018234,0.5510374,0.3642902,1.37555,0.23779029999999998,1.337473,1.211726,1.604395,0.9948655000000001,0.6056344,1.728684,1.70042,1.8375299999999999,0.8368713,2.956668,,
2001-06-04,1.748225,1.608985,0.1026136,-0.6817316,1.633033,0.4689173,-0.6418785,1.50668,0.29737199999999997,2.268621,1.400126,2.9067939999999997,1.054518,0.5550968000000001,1.9647259999999998,2.59884,2.9470099999999997,0.7700256,6.162408,,
2001-06-05,2.6800740000000003,1.602695,0.329485,-1.171662,2.370864,0.5306571999999999,-1.023509,1.616491,0.3108645,1.642418,1.587284,3.285907,1.110458,0.5355576,2.1989900000000002,3.2745130000000002,4.278517,0.8207603000000001,6.403112999999999,,
2001-06-06,1.446848,1.596766,-0.1102107,0.29464509999999994,1.365512,0.5862789,0.4251382000000001,1.533885,0.2802986,1.551652,1.4470690000000002,1.572374,1.064067,0.6024993000000001,2.019935,2.0003,2.464235,0.9582068000000001,2.325951,,
2001-06-07,1.380068,1.591201,-0.1784002,0.146448,1.3382610000000001,0.5421528,0.2902663,1.4075790000000001,0.2404978,1.405649,1.258426,1.4806350000000001,0.9999693000000001,0.5076782999999999,1.780139,1.9573150000000001,2.415058,0.8682656999999999,2.0053400000000003,,
2001-06-08,0.8707621999999999,1.5860020000000001,-0.34101620000000005,0.736445,0.9470086,0.686419,0.8521003,1.420323,0.24393800000000002,1.108164,1.277189,1.062611,1.003949,0.5262150999999999,1.802173,1.444618,1.708994,0.9231484000000001,0.8268271999999999,,
2001-06-09,1.1826969999999999,1.581169,-0.22868229999999998,0.3357432,1.0970209999999998,0.5543611999999999,0.43935969999999996,1.386794,0.2381598,1.415705,1.231487,1.188956,0.986526,0.5515989,1.743078,1.693239,1.9797099999999999,0.8449117,2.075516,,
2001-06-10,1.272206,1.576704,-0.1574892,0.2362388,1.170449,0.5315842,0.33570209999999995,1.416497,0.24565860000000003,1.400285,1.273492,1.56187,0.9986216999999998,0.5561835999999999,1.794603,1.792411,2.11222,0.8411796999999999,2.467174,,
2001-06-11,1.519772,1.57261,-0.101221,-0.06407453,1.394814,0.49444859999999996,0.06353709,1.400172,0.24229740000000002,1.408836,1.251283,1.344535,0.9894136,0.507745,1.765368,2.0573900000000003,2.517114,0.8137015999999999,2.75185,,
2001-06-12,0.9773999,1.568886,-0.2895667,0.5958640000000001,0.9212715,0.6168593000000001,0.6879549,1.40835,0.2456484,1.424099,1.263406,1.286196,0.9918196,0.5956128,1.77947,1.4632889999999998,1.662548,0.8674506,1.6568490000000002,,
2001-06-13,1.284337,1.565534,-0.2040635,0.2059284,1.191567,0.5243618,0.31814549999999997,1.39255,0.2437869,1.3979409999999999,1.24189,1.411226,0.9831633,0.5305664000000001,1.751368,1.800509,2.150329,0.8298606,2.243419,,
2001-06-14,1.518026,1.562555,-0.1856948,-0.27436209999999994,1.3503530000000001,0.4423710999999999,-0.1591951,1.26759,0.21278070000000002,1.3156450000000002,1.081769,1.604434,0.9272031999999999,0.4505105,1.5491219999999999,2.046869,2.4368790000000002,0.711936,3.066698,,
2001-06-15,0.9199624,1.55995,-0.368581,0.2794908,0.8517440999999999,0.4975348,0.3483874,1.1796719999999998,0.1972662,1.240913,0.9824687,1.368871,0.8911786,0.501155,1.423558,1.430342,1.537077,0.7076539000000001,2.223713,,
